extractor,reason,label,section,system_count,source_missing,extract_failure,uncertain,false_rate_pct
mineru_md,missing_field,"任课教师姓名",jcxx,74,74,0,0,0.0
mineru_md,missing_field,"英文课程名称",jcxx,69,69,0,0,0.0
mineru_md,missing_field,"开课（院）系",jcxx,68,68,0,0,0.0
mineru_md,missing_field,"思政目标",kcmb,68,68,0,0,0.0
mineru_md,missing_field,"能力目标",kcmb,67,67,0,0,0.0
mineru_md,missing_field,"课程编号",jcxx,67,67,0,0,0.0
mineru_md,missing_field,"知识目标",kcmb,65,65,0,0,0.0
mineru_md,empty_section,"课程要求",kcyq,45,0,0,45,0.0
mineru_md,empty_section,"教学内容条目",jxnr,33,0,0,33,0.0
mineru_md,empty_section,"教学安排条目",jxap,32,0,0,32,0.0
mineru_md,missing_field,"思政元素的融入和预期教学成效",jxap,15,0,2,13,13.3
mineru_md,missing_field,"中文课程名称",jcxx,14,14,0,0,0.0
mineru_md,missing_field,"考察内容",khfsb,12,6,1,5,8.3
mineru_md,missing_field,"课程/周次",jxap,12,1,2,9,16.7
mineru_md,empty_section,"考核方式条目",khfsb,10,0,0,10,0.0
mineru_md,missing_field,"考察方式",khfsb,10,5,0,5,0.0
mineru_md,missing_field,"序号",jxnr,7,0,5,2,71.4
mineru_md,missing_field,"占比",khfsb,4,2,0,2,0.0
mineru_md,missing_field,"学时",jxnr,3,1,1,1,33.3
mineru_md,missing_field,"授课内容",jxap,3,0,0,3,0.0
mineru_md,missing_field,"主题",jxnr,2,0,2,0,100.0
mineru_md,missing_field,"授课方式",jxap,1,0,0,1,0.0
mineru_md,missing_field,"知识点",jxnr,1,0,1,0,100.0
